sex,country_code,age1,age2,age3,age4,age5,age6,age7,age8,age9,age10,age11,age12,age13,age14,age15,age16,age17,age18
0,108,2116978,1912941,1628911,1317659,1088697,999325,923451,746542,521541,340938,264195,236389,207546,155657,85309,42904,23303,12559
1,108,1069292,964309,818289,659637,542626,495426,456625,369276,257111,163898,122055,109100,97303,72936,38591,17913,9188,4571
2,108,1047686,948632,810622,658022,546071,503899,466826,377266,264430,177040,142140,127289,110243,82721,46718,24991,14115,7988
0,174,125414,117488,106147,93528,82623,73742,66216,57319,46276,36708,29740,24037,18709,13286,7989,4577,2440,1172
1,174,63885,59796,53993,47520,41937,37391,33519,28944,23276,18366,14783,11822,9035,6262,3689,2029,1024,451
2,174,61529,57692,52154,46008,40686,36351,32697,28375,23000,18342,14957,12215,9674,7024,4300,2548,1416,721
0,231,17261892,15810824,14313621,13270742,12278598,10529336,8255000,6674682,5381432,4354873,3521543,2679165,2138518,1668087,1229906,805126,411500,227853
1,231,8759006,8009182,7235545,6689516,6188420,5311496,4145443,3302183,2649610,2185184,1739976,1265952,981834,772495,563093,363181,186606,99471
2,231,8502886,7801642,7078076,6581226,6090178,5217840,4109557,3372499,2731822,2169689,1781567,1413213,1156684,895592,666813,441945,224894,128382
0,232,506095,471684,487419,417105,301525,274422,277213,219204,150680,138822,104384,79897,70859,58325,47466,31560,16528,9060
1,232,258177,240974,248811,212615,152159,137747,139344,109955,74066,67328,50359,38472,34275,26738,20854,13662,6921,3433
2,232,247918,230710,238608,204490,149366,136675,137869,109249,76614,71494,54025,41425,36584,31587,26612,17898,9607,5627
0,262,96776,99931,91639,89501,91047,88122,87039,80208,70144,58753,45871,37510,29242,19799,14189,9316,4616,2395
1,262,49706,49782,48732,49342,49451,47546,46038,41173,36426,31620,24024,19326,15098,9789,6866,4467,2115,1023
2,262,47070,50149,42907,40159,41596,40576,41001,39035,33718,27133,21847,18184,14144,10010,7323,4849,2501,1372
0,404,7169506,6984190,6875170,6316580,5540272,4640522,4114538,3673124,2999735,2345215,1770250,1312676,966538,689273,435574,223433,105481,53147
1,404,3625985,3516815,3462679,3178750,2775363,2311460,2038731,1814568,1479032,1152940,863612,628827,449131,306919,184578,89120,38446,17368
2,404,3543521,3467375,3412491,3137830,2764909,2329062,2075807,1858556,1520703,1192275,906638,683849,517407,382354,250996,134313,67035,35779
